SpatialDimValueCode,Period,FactValueNumeric,indicator,value
CHE,2017,10.37,Gross National Income Per Capita (2017 PPP$),67250.541
CHE,2017,10.37,Human Development Index (value),0.955
CHE,2017,10.37,Life Expectancy at Birth (years),83.412
CHE,2017,10.37,Mean Years of Schooling (years),13.733
CHE,2018,9.88,Expected Years of Schooling (years),16.259
CHE,2018,9.88,Gross National Income Per Capita (2017 PPP$),67150.702
CHE,2018,9.88,Human Development Index (value),0.957
CHE,2018,9.88,Life Expectancy at Birth (years),83.561
CHE,2018,9.88,Mean Years of Schooling (years),13.8
CHE,2019,9.83,Expected Years of Schooling (years),16.345
CHE,2019,9.83,Gross National Income Per Capita (2017 PPP$),67530.738
CHE,2019,9.83,Human Development Index (value),0.96
CHE,2019,9.83,Life Expectancy at Birth (years),83.78
CHE,2019,9.83,Mean Years of Schooling (years),13.86
CHL,2000,10.52,Expected Years of Schooling (years),13.136
CHL,2000,10.52,Gross National Income Per Capita (2017 PPP$),14965.909
CHL,2000,10.52,Human Development Index (value),0.763
CHL,2000,10.52,Life Expectancy at Birth (years),76.87
CHL,2000,10.52,Mean Years of Schooling (years),9.151
CHL,2001,10.38,Expected Years of Schooling (years),13.331
CHL,2001,10.38,Gross National Income Per Capita (2017 PPP$),15298.652
CHL,2001,10.38,Human Development Index (value),0.767
CHL,2001,10.38,Life Expectancy at Birth (years),76.773
CHL,2001,10.38,Mean Years of Schooling (years),9.289
CHL,2002,9.68,Expected Years of Schooling (years),13.526
CHL,2002,9.68,Gross National Income Per Capita (2017 PPP$),15542.03
CHL,2002,9.68,Human Development Index (value),0.775
CHL,2002,9.68,Life Expectancy at Birth (years),77.445
CHL,2002,9.68,Mean Years of Schooling (years),9.427
CHL,2003,9.69,Expected Years of Schooling (years),13.747
CHL,2003,9.69,Gross National Income Per Capita (2017 PPP$),15918.809
CHL,2003,9.69,Human Development Index (value),0.78
CHL,2003,9.69,Life Expectancy at Birth (years),77.387
CHL,2003,9.69,Mean Years of Schooling (years),9.565
CHL,2004,10.01,Expected Years of Schooling (years),14.068
CHL,2004,10.01,Gross National Income Per Capita (2017 PPP$),16392.183
CHL,2004,10.01,Human Development Index (value),0.787
CHL,2004,10.01,Life Expectancy at Birth (years),77.616
CHL,2004,10.01,Mean Years of Schooling (years),9.703
CHL,2005,9.49,Expected Years of Schooling (years),14.381
CHL,2005,9.49,Gross National Income Per Capita (2017 PPP$),17046.355
CHL,2005,9.49,Human Development Index (value),0.795
CHL,2005,9.49,Life Expectancy at Birth (years),78.016
CHL,2005,9.49,Mean Years of Schooling (years),9.737
CHL,2006,9.72,Expected Years of Schooling (years),14.318
CHL,2006,9.72,Gross National Income Per Capita (2017 PPP$),17211.436
CHL,2006,9.72,Human Development Index (value),0.796
CHL,2006,9.72,Life Expectancy at Birth (years),78.261
CHL,2006,9.72,Mean Years of Schooling (years),9.771
CHL,2007,10.65,Expected Years of Schooling (years),14.702
CHL,2007,10.65,Gross National Income Per Capita (2017 PPP$),18080.789
CHL,2007,10.65,Human Development Index (value),0.801
CHL,2007,10.65,Life Expectancy at Birth (years),77.826
CHL,2007,10.65,Mean Years of Schooling (years),9.805
CHL,2008,11.76,Expected Years of Schooling (years),14.857
CHL,2008,11.76,Gross National Income Per Capita (2017 PPP$),19131.068
CHL,2008,11.76,Human Development Index (value),0.812
CHL,2008,11.76,Life Expectancy at Birth (years),78.484
CHL,2008,11.76,Mean Years of Schooling (years),10.106
CHL,2009,12.12,Expected Years of Schooling (years),14.882
CHL,2009,12.12,Gross National Income Per Capita (2017 PPP$),18917.494
CHL,2009,12.12,Human Development Index (value),0.811
CHL,2009,12.12,Life Expectancy at Birth (years),78.741
CHL,2009,12.12,Mean Years of Schooling (years),9.979
CHL,2010,11.01,Expected Years of Schooling (years),15.098
CHL,2010,11.01,Gross National Income Per Capita (2017 PPP$),19825.323
CHL,2010,11.01,Human Development Index (value),0.813
CHL,2010,11.01,Life Expectancy at Birth (years),78.501
CHL,2010,11.01,Mean Years of Schooling (years),9.852
CHL,2011,11.0,Expected Years of Schooling (years),15.311
CHL,2011,11.0,Gross National Income Per Capita (2017 PPP$),20340.008
CHL,2011,11.0,Human Development Index (value),0.816
CHL,2011,11.0,Life Expectancy at Birth (years),79.11
CHL,2011,11.0,Mean Years of Schooling (years),9.544
CHL,2012,9.86,Expected Years of Schooling (years),15.413
CHL,2012,9.86,Gross National Income Per Capita (2017 PPP$),22185.819
CHL,2012,9.86,Human Development Index (value),0.824
CHL,2012,9.86,Life Expectancy at Birth (years),79.023
CHL,2012,9.86,Mean Years of Schooling (years),9.777
CHL,2013,9.15,Expected Years of Schooling (years),16.106
CHL,2013,9.15,Gross National Income Per Capita (2017 PPP$),22956.337
CHL,2013,9.15,Human Development Index (value),0.837
CHL,2013,9.15,Life Expectancy at Birth (years),79.339
CHL,2013,9.15,Mean Years of Schooling (years),10.009
CHL,2014,9.13,Expected Years of Schooling (years),16.261
CHL,2014,9.13,Gross National Income Per Capita (2017 PPP$),23148.299
CHL,2014,9.13,Human Development Index (value),0.841
CHL,2014,9.13,Life Expectancy at Birth (years),79.473
CHL,2014,9.13,Mean Years of Schooling (years),10.132
CHL,2015,9.17,Expected Years of Schooling (years),16.392
CHL,2015,9.17,Gross National Income Per Capita (2017 PPP$),23886.428
CHL,2015,9.17,Human Development Index (value),0.846
CHL,2015,9.17,Life Expectancy at Birth (years),79.746
CHL,2015,9.17,Mean Years of Schooling (years),10.256
CHL,2016,9.18,Expected Years of Schooling (years),16.495
CHL,2016,9.18,Gross National Income Per Capita (2017 PPP$),23933.099
CHL,2016,9.18,Human Development Index (value),0.851
CHL,2016,9.18,Life Expectancy at Birth (years),80.079
CHL,2016,9.18,Mean Years of Schooling (years),10.423
CHL,2017,8.39,Expected Years of Schooling (years),16.533
CHL,2017,8.39,Gross National Income Per Capita (2017 PPP$),23592.673
CHL,2017,8.39,Human Development Index (value),0.854
CHL,2017,8.39,Life Expectancy at Birth (years),80.35
CHL,2017,8.39,Mean Years of Schooling (years),10.591
CHL,2018,7.96,Expected Years of Schooling (years),16.606
CHL,2018,7.96,Gross National Income Per Capita (2017 PPP$),24051.747
CHL,2018,7.96,Human Development Index (value),0.856
CHL,2018,7.96,Life Expectancy at Birth (years),80.133
CHL,2018,7.96,Mean Years of Schooling (years),10.761
CHL,2019,8.04,Expected Years of Schooling (years),16.644
CHL,2019,8.04,Gross National Income Per Capita (2017 PPP$),23892.705
CHL,2019,8.04,Human Development Index (value),0.859
CHL,2019,8.04,Life Expectancy at Birth (years),80.326
CHL,2019,8.04,Mean Years of Schooling (years),10.935
CHN,2000,14.85,Expected Years of Schooling (years),9.905
CHN,2000,14.85,Gross National Income Per Capita (2017 PPP$),3416.481
CHN,2000,14.85,Human Development Index (value),0.586
CHN,2000,14.85,Life Expectancy at Birth (years),71.881
CHN,2000,14.85,Mean Years of Schooling (years),5.929
CHN,2001,13.34,Expected Years of Schooling (years),10.16
CHN,2001,13.34,Gross National Income Per Capita (2017 PPP$),3666.403
CHN,2001,13.34,Human Development Index (value),0.597
CHN,2001,13.34,Life Expectancy at Birth (years),72.606
CHN,2001,13.34,Mean Years of Schooling (years),6.008
CHN,2002,12.52,Expected Years of Schooling (years),10.506
CHN,2002,12.52,Gross National Income Per Capita (2017 PPP$),3988.394
CHN,2002,12.52,Human Development Index (value),0.608
CHN,2002,12.52,Life Expectancy at Birth (years),72.985
CHN,2002,12.52,Mean Years of Schooling (years),6.088
CHN,2003,13.0,Expected Years of Schooling (years),10.852
CHN,2003,13.0,Gross National Income Per Capita (2017 PPP$),4376.641
CHN,2003,13.0,Human Development Index (value),0.619
CHN,2003,13.0,Life Expectancy at Birth (years),73.371
CHN,2003,13.0,Mean Years of Schooling (years),6.168
CHN,2004,13.39,Expected Years of Schooling (years),11.199
CHN,2004,13.39,Gross National Income Per Capita (2017 PPP$),4805.651
CHN,2004,13.39,Human Development Index (value),0.631
CHN,2004,13.39,Life Expectancy at Birth (years),73.748
CHN,2004,13.39,Mean Years of Schooling (years),6.248
CHN,2005,12.83,Expected Years of Schooling (years),11.545
CHN,2005,12.83,Gross National Income Per Capita (2017 PPP$),5299.359
CHN,2005,12.83,Human Development Index (value),0.643
CHN,2005,12.83,Life Expectancy at Birth (years),74.111
CHN,2005,12.83,Mean Years of Schooling (years),6.328
CHN,2006,11.88,Expected Years of Schooling (years),11.891
CHN,2006,11.88,Gross National Income Per Capita (2017 PPP$),5969.088
CHN,2006,11.88,Human Development Index (value),0.656
CHN,2006,11.88,Life Expectancy at Birth (years),74.504
CHN,2006,11.88,Mean Years of Schooling (years),6.407
CHN,2007,11.1,Expected Years of Schooling (years),12.203
CHN,2007,11.1,Gross National Income Per Capita (2017 PPP$),6810.158
CHN,2007,11.1,Human Development Index (value),0.668
CHN,2007,11.1,Life Expectancy at Birth (years),74.762
CHN,2007,11.1,Mean Years of Schooling (years),6.487
CHN,2008,10.59,Expected Years of Schooling (years),12.519
CHN,2008,10.59,Gross National Income Per Capita (2017 PPP$),7457.824
CHN,2008,10.59,Human Development Index (value),0.678
CHN,2008,10.59,Life Expectancy at Birth (years),74.872
CHN,2008,10.59,Mean Years of Schooling (years),6.567
CHN,2009,10.09,Expected Years of Schooling (years),12.853
CHN,2009,10.09,Gross National Income Per Capita (2017 PPP$),8056.028
CHN,2009,10.09,Human Development Index (value),0.689
CHN,2009,10.09,Life Expectancy at Birth (years),75.343
CHN,2009,10.09,Mean Years of Schooling (years),6.647
CHN,2010,9.59,Expected Years of Schooling (years),13.043
CHN,2010,9.59,Gross National Income Per Capita (2017 PPP$),8846.375
CHN,2010,9.59,Human Development Index (value),0.698
CHN,2010,9.59,Life Expectancy at Birth (years),75.599
CHN,2010,9.59,Mean Years of Schooling (years),6.726
CHN,2011,8.84,Expected Years of Schooling (years),13.158
CHN,2011,8.84,Gross National Income Per Capita (2017 PPP$),9589.872
CHN,2011,8.84,Human Development Index (value),0.706
CHN,2011,8.84,Life Expectancy at Birth (years),75.903
CHN,2011,8.84,Mean Years of Schooling (years),6.863
CHN,2012,8.14,Expected Years of Schooling (years),13.284
CHN,2012,8.14,Gross National Income Per Capita (2017 PPP$),10346.768
CHN,2012,8.14,Human Development Index (value),0.715
CHN,2012,8.14,Life Expectancy at Birth (years),76.192
CHN,2012,8.14,Mean Years of Schooling (years),6.999
CHN,2013,7.65,Expected Years of Schooling (years),13.511
CHN,2013,7.65,Gross National Income Per Capita (2017 PPP$),11012.372
CHN,2013,7.65,Human Development Index (value),0.723
CHN,2013,7.65,Life Expectancy at Birth (years),76.452
CHN,2013,7.65,Mean Years of Schooling (years),7.135
CHN,2014,7.35,Expected Years of Schooling (years),13.743
CHN,2014,7.35,Gross National Income Per Capita (2017 PPP$),11866.353
CHN,2014,7.35,Human Development Index (value),0.732
CHN,2014,7.35,Life Expectancy at Birth (years),76.717
CHN,2014,7.35,Mean Years of Schooling (years),7.272
CHN,2015,7.08,Expected Years of Schooling (years),13.978
CHN,2015,7.08,Gross National Income Per Capita (2017 PPP$),12552.185
CHN,2015,7.08,Human Development Index (value),0.741
CHN,2015,7.08,Life Expectancy at Birth (years),76.977
CHN,2015,7.08,Mean Years of Schooling (years),7.408
CHN,2016,6.99,Expected Years of Schooling (years),14.218
CHN,2016,6.99,Gross National Income Per Capita (2017 PPP$),13332.386
CHN,2016,6.99,Human Development Index (value),0.749
CHN,2016,6.99,Life Expectancy at Birth (years),77.218
CHN,2016,6.99,Mean Years of Schooling (years),7.544
CHN,2017,6.89,Expected Years of Schooling (years),14.462
CHN,2017,6.89,Gross National Income Per Capita (2017 PPP$),14224.869
CHN,2017,6.89,Human Development Index (value),0.757
CHN,2017,6.89,Life Expectancy at Birth (years),77.248
CHN,2017,6.89,Mean Years of Schooling (years),7.68
CHN,2018,6.81,Expected Years of Schooling (years),14.709
CHN,2018,6.81,Gross National Income Per Capita (2017 PPP$),15067.743
CHN,2018,6.81,Human Development Index (value),0.766
CHN,2018,6.81,Life Expectancy at Birth (years),77.744
CHN,2018,6.81,Mean Years of Schooling (years),7.817
CHN,2019,6.67,Expected Years of Schooling (years),14.962
CHN,2019,6.67,Gross National Income Per Capita (2017 PPP$),15933.621
CHN,2019,6.67,Human Development Index (value),0.775
CHN,2019,6.67,Life Expectancy at Birth (years),77.968
CHN,2019,6.67,Mean Years of Schooling (years),7.96
CIV,2000,23.99,Expected Years of Schooling (years),6.487
CIV,2000,23.99,Gross National Income Per Capita (2017 PPP$),2777.411
CIV,2000,23.99,Human Development Index (value),0.454
CIV,2000,23.99,Life Expectancy at Birth (years),50.842
CIV,2000,23.99,Mean Years of Schooling (years),6.387
CIV,2001,22.93,Expected Years of Schooling (years),6.616
CIV,2001,22.93,Gross National Income Per Capita (2017 PPP$),2721.814
CIV,2001,22.93,Human Development Index (value),0.453
CIV,2001,22.93,Life Expectancy at Birth (years),50.81
CIV,2001,22.93,Mean Years of Schooling (years),6.265
CIV,2002,22.07,Expected Years of Schooling (years),6.744
CIV,2002,22.07,Gross National Income Per Capita (2017 PPP$),2613.705
CIV,2002,22.07,Human Development Index (value),0.451
CIV,2002,22.07,Life Expectancy at Birth (years),50.886
CIV,2002,22.07,Mean Years of Schooling (years),6.143
CIV,2003,21.73,Expected Years of Schooling (years),6.872
CIV,2003,21.73,Gross National Income Per Capita (2017 PPP$),2537.636
CIV,2003,21.73,Human Development Index (value),0.45
CIV,2003,21.73,Life Expectancy at Birth (years),50.954
CIV,2003,21.73,Mean Years of Schooling (years),6.021
CIV,2004,21.21,Expected Years of Schooling (years),7.001
CIV,2004,21.21,Gross National Income Per Capita (2017 PPP$),2519.288
CIV,2004,21.21,Human Development Index (value),0.451
CIV,2004,21.21,Life Expectancy at Birth (years),51.363
CIV,2004,21.21,Mean Years of Schooling (years),5.899
CIV,2005,20.35,Expected Years of Schooling (years),7.129
CIV,2005,20.35,Gross National Income Per Capita (2017 PPP$),2505.537
CIV,2005,20.35,Human Development Index (value),0.453
CIV,2005,20.35,Life Expectancy at Birth (years),51.824
CIV,2005,20.35,Mean Years of Schooling (years),5.777
CIV,2006,20.47,Expected Years of Schooling (years),7.257
CIV,2006,20.47,Gross National Income Per Capita (2017 PPP$),2486.219
CIV,2006,20.47,Human Development Index (value),0.455
CIV,2006,20.47,Life Expectancy at Birth (years),52.355
CIV,2006,20.47,Mean Years of Schooling (years),5.655
CIV,2007,20.26,Expected Years of Schooling (years),7.386
CIV,2007,20.26,Gross National Income Per Capita (2017 PPP$),2476.524
CIV,2007,20.26,Human Development Index (value),0.458
CIV,2007,20.26,Life Expectancy at Birth (years),52.97
CIV,2007,20.26,Mean Years of Schooling (years),5.532
CIV,2008,19.0,Expected Years of Schooling (years),7.514
CIV,2008,19.0,Gross National Income Per Capita (2017 PPP$),2492.569
CIV,2008,19.0,Human Development Index (value),0.461
CIV,2008,19.0,Life Expectancy at Birth (years),53.653
CIV,2008,19.0,Mean Years of Schooling (years),5.41
CIV,2009,19.41,Expected Years of Schooling (years),7.642
CIV,2009,19.41,Gross National Income Per Capita (2017 PPP$),2562.098
CIV,2009,19.41,Human Development Index (value),0.465
CIV,2009,19.41,Life Expectancy at Birth (years),54.394
CIV,2009,19.41,Mean Years of Schooling (years),5.288
CIV,2010,20.01,Expected Years of Schooling (years),7.77
CIV,2010,20.01,Gross National Income Per Capita (2017 PPP$),2670.427
CIV,2010,20.01,Human Development Index (value),0.47
CIV,2010,20.01,Life Expectancy at Birth (years),55.023
CIV,2010,20.01,Mean Years of Schooling (years),5.166
CIV,2011,19.61,Expected Years of Schooling (years),7.899
CIV,2011,19.61,Gross National Income Per Capita (2017 PPP$),2483.812
CIV,2011,19.61,Human Development Index (value),0.468
CIV,2011,19.61,Life Expectancy at Birth (years),55.52
CIV,2011,19.61,Mean Years of Schooling (years),5.044
CIV,2012,19.74,Expected Years of Schooling (years),8.027
CIV,2012,19.74,Gross National Income Per Capita (2017 PPP$),2654.962
CIV,2012,19.74,Human Development Index (value),0.474
CIV,2012,19.74,Life Expectancy at Birth (years),56.158
CIV,2012,19.74,Mean Years of Schooling (years),4.922
CIV,2013,19.45,Expected Years of Schooling (years),8.155
CIV,2013,19.45,Gross National Income Per Capita (2017 PPP$),2841.451
CIV,2013,19.45,Human Development Index (value),0.48
CIV,2013,19.45,Life Expectancy at Birth (years),56.748
CIV,2013,19.45,Mean Years of Schooling (years),4.8
CIV,2014,18.55,Expected Years of Schooling (years),8.284
CIV,2014,18.55,Gross National Income Per Capita (2017 PPP$),4155.854
CIV,2014,18.55,Human Development Index (value),0.499
CIV,2014,18.55,Life Expectancy at Birth (years),57.208
CIV,2014,18.55,Mean Years of Schooling (years),4.678
CIV,2015,17.71,Expected Years of Schooling (years),8.548
CIV,2015,17.71,Gross National Income Per Capita (2017 PPP$),4325.225
CIV,2015,17.71,Human Development Index (value),0.501
CIV,2015,17.71,Life Expectancy at Birth (years),57.762
CIV,2015,17.71,Mean Years of Schooling (years),4.309
CIV,2016,17.0,Expected Years of Schooling (years),9.073
CIV,2016,17.0,Gross National Income Per Capita (2017 PPP$),4515.508
CIV,2016,17.0,Human Development Index (value),0.506
CIV,2016,17.0,Life Expectancy at Birth (years),58.06
CIV,2016,17.0,Mean Years of Schooling (years),3.94
CIV,2017,16.37,Expected Years of Schooling (years),9.474
CIV,2017,16.37,Gross National Income Per Capita (2017 PPP$),4694.304
CIV,2017,16.37,Human Development Index (value),0.515
CIV,2017,16.37,Life Expectancy at Birth (years),58.48
CIV,2017,16.37,Mean Years of Schooling (years),4.014
CIV,2018,15.93,Expected Years of Schooling (years),9.698
CIV,2018,15.93,Gross National Income Per Capita (2017 PPP$),4806.423
CIV,2018,15.93,Human Development Index (value),0.522
CIV,2018,15.93,Life Expectancy at Birth (years),58.849
CIV,2018,15.93,Mean Years of Schooling (years),4.089
CIV,2019,15.66,Expected Years of Schooling (years),9.922
CIV,2019,15.66,Gross National Income Per Capita (2017 PPP$),4990.608
CIV,2019,15.66,Human Development Index (value),0.529
CIV,2019,15.66,Life Expectancy at Birth (years),59.319
CIV,2019,15.66,Mean Years of Schooling (years),4.163
CMR,2000,19.12,Expected Years of Schooling (years),7.394
CMR,2000,19.12,Gross National Income Per Capita (2017 PPP$),2778.869
CMR,2000,19.12,Human Development Index (value),0.426
CMR,2000,19.12,Life Expectancy at Birth (years),52.932
CMR,2000,19.12,Mean Years of Schooling (years),2.981
CMR,2001,19.43,Expected Years of Schooling (years),8.672
CMR,2001,19.43,Gross National Income Per Capita (2017 PPP$),2806.072
CMR,2001,19.43,Human Development Index (value),0.445
CMR,2001,19.43,Life Expectancy at Birth (years),53.142
CMR,2001,19.43,Mean Years of Schooling (years),3.059
CMR,2002,19.23,Expected Years of Schooling (years),8.404
CMR,2002,19.23,Gross National Income Per Capita (2017 PPP$),2883.258
CMR,2002,19.23,Human Development Index (value),0.445
CMR,2002,19.23,Life Expectancy at Birth (years),53.415
CMR,2002,19.23,Mean Years of Schooling (years),3.137
CMR,2003,19.49,Expected Years of Schooling (years),8.556
CMR,2003,19.49,Gross National Income Per Capita (2017 PPP$),3020.433
CMR,2003,19.49,Human Development Index (value),0.452
CMR,2003,19.49,Life Expectancy at Birth (years),53.883
CMR,2003,19.49,Mean Years of Schooling (years),3.214
CMR,2004,19.37,Expected Years of Schooling (years),8.608
CMR,2004,19.37,Gross National Income Per Capita (2017 PPP$),3180.441
CMR,2004,19.37,Human Development Index (value),0.458
CMR,2004,19.37,Life Expectancy at Birth (years),54.178
CMR,2004,19.37,Mean Years of Schooling (years),3.292
CMR,2005,20.56,Expected Years of Schooling (years),8.568
CMR,2005,20.56,Gross National Income Per Capita (2017 PPP$),3150.784
CMR,2005,20.56,Human Development Index (value),0.459
CMR,2005,20.56,Life Expectancy at Birth (years),54.362
CMR,2005,20.56,Mean Years of Schooling (years),3.369
CMR,2006,20.92,Expected Years of Schooling (years),8.322
CMR,2006,20.92,Gross National Income Per Capita (2017 PPP$),3223.572
CMR,2006,20.92,Human Development Index (value),0.46
CMR,2006,20.92,Life Expectancy at Birth (years),54.856
CMR,2006,20.92,Mean Years of Schooling (years),3.43
CMR,2007,20.4,Expected Years of Schooling (years),9.093
CMR,2007,20.4,Gross National Income Per Capita (2017 PPP$),3242.91
CMR,2007,20.4,Human Development Index (value),0.472
CMR,2007,20.4,Life Expectancy at Birth (years),55.165
CMR,2007,20.4,Mean Years of Schooling (years),3.49
CMR,2008,20.12,Expected Years of Schooling (years),9.53
CMR,2008,20.12,Gross National Income Per Capita (2017 PPP$),3261.031
CMR,2008,20.12,Human Development Index (value),0.487
CMR,2008,20.12,Life Expectancy at Birth (years),55.655
CMR,2008,20.12,Mean Years of Schooling (years),4.061
CMR,2009,19.97,Expected Years of Schooling (years),10.004
CMR,2009,19.97,Gross National Income Per Capita (2017 PPP$),3285.455
CMR,2009,19.97,Human Development Index (value),0.502
CMR,2009,19.97,Life Expectancy at Birth (years),56.102
CMR,2009,19.97,Mean Years of Schooling (years),4.632
CMR,2010,19.51,Expected Years of Schooling (years),10.372
CMR,2010,19.51,Gross National Income Per Capita (2017 PPP$),3267.737
CMR,2010,19.51,Human Development Index (value),0.515
CMR,2010,19.51,Life Expectancy at Birth (years),56.582
CMR,2010,19.51,Mean Years of Schooling (years),5.203
CMR,2011,19.41,Expected Years of Schooling (years),10.741
CMR,2011,19.41,Gross National Income Per Capita (2017 PPP$),3282.844
CMR,2011,19.41,Human Development Index (value),0.524
CMR,2011,19.41,Life Expectancy at Birth (years),57.133
CMR,2011,19.41,Mean Years of Schooling (years),5.355
CMR,2012,19.15,Expected Years of Schooling (years),11.329
CMR,2012,19.15,Gross National Income Per Capita (2017 PPP$),3322.77
CMR,2012,19.15,Human Development Index (value),0.535
CMR,2012,19.15,Life Expectancy at Birth (years),57.792
CMR,2012,19.15,Mean Years of Schooling (years),5.507
CMR,2013,18.71,Expected Years of Schooling (years),11.632
CMR,2013,18.71,Gross National Income Per Capita (2017 PPP$),3378.477
CMR,2013,18.71,Human Development Index (value),0.544
CMR,2013,18.71,Life Expectancy at Birth (years),58.476
CMR,2013,18.71,Mean Years of Schooling (years),5.659
CMR,2014,17.94,Expected Years of Schooling (years),11.936
CMR,2014,17.94,Gross National Income Per Capita (2017 PPP$),3502.031
CMR,2014,17.94,Human Development Index (value),0.553
CMR,2014,17.94,Life Expectancy at Birth (years),58.935
CMR,2014,17.94,Mean Years of Schooling (years),5.811
CMR,2015,17.09,Expected Years of Schooling (years),12.206
CMR,2015,17.09,Gross National Income Per Capita (2017 PPP$),3566.031
CMR,2015,17.09,Human Development Index (value),0.562
CMR,2015,17.09,Life Expectancy at Birth (years),59.658
CMR,2015,17.09,Mean Years of Schooling (years),5.964
CMR,2016,16.62,Expected Years of Schooling (years),12.131
CMR,2016,16.62,Gross National Income Per Capita (2017 PPP$),3606.865
CMR,2016,16.62,Human Development Index (value),0.566
CMR,2016,16.62,Life Expectancy at Birth (years),60.233
CMR,2016,16.62,Mean Years of Schooling (years),6.116
CMR,2017,16.15,Expected Years of Schooling (years),12.432
CMR,2017,16.15,Gross National Income Per Capita (2017 PPP$),3623.474
CMR,2017,16.15,Human Development Index (value),0.574
CMR,2017,16.15,Life Expectancy at Birth (years),60.81
CMR,2017,16.15,Mean Years of Schooling (years),6.268
CMR,2018,15.93,Expected Years of Schooling (years),12.741
CMR,2018,15.93,Gross National Income Per Capita (2017 PPP$),3663.002
CMR,2018,15.93,Human Development Index (value),0.581
CMR,2018,15.93,Life Expectancy at Birth (years),61.18
CMR,2018,15.93,Mean Years of Schooling (years),6.42
CMR,2019,15.92,Expected Years of Schooling (years),13.057
CMR,2019,15.92,Gross National Income Per Capita (2017 PPP$),3675.295
CMR,2019,15.92,Human Development Index (value),0.586
CMR,2019,15.92,Life Expectancy at Birth (years),61.584
CMR,2019,15.92,Mean Years of Schooling (years),6.479
COD,2000,14.5,Expected Years of Schooling (years),6.938
COD,2000,14.5,Gross National Income Per Capita (2017 PPP$),719.053
COD,2000,14.5,Human Development Index (value),0.376
COD,2000,14.5,Life Expectancy at Birth (years),51.781
COD,2000,14.5,Mean Years of Schooling (years),5.142
COD,2001,14.37,Expected Years of Schooling (years),7.015
COD,2001,14.37,Gross National Income Per Capita (2017 PPP$),662.036
COD,2001,14.37,Human Development Index (value),0.373
COD,2001,14.37,Life Expectancy at Birth (years),52.116
COD,2001,14.37,Mean Years of Schooling (years),5.201
COD,2002,14.22,Expected Years of Schooling (years),7.091
COD,2002,14.22,Gross National Income Per Capita (2017 PPP$),672.743
COD,2002,14.22,Human Development Index (value),0.376
COD,2002,14.22,Life Expectancy at Birth (years),52.333
COD,2002,14.22,Mean Years of Schooling (years),5.261
COD,2003,14.4,Expected Years of Schooling (years),7.168
COD,2003,14.4,Gross National Income Per Capita (2017 PPP$),694.872
COD,2003,14.4,Human Development Index (value),0.382
COD,2003,14.4,Life Expectancy at Birth (years),52.827
COD,2003,14.4,Mean Years of Schooling (years),5.32
COD,2004,14.23,Expected Years of Schooling (years),7.245
COD,2004,14.23,Gross National Income Per Capita (2017 PPP$),716.419
COD,2004,14.23,Human Development Index (value),0.388
COD,2004,14.23,Life Expectancy at Birth (years),53.426
COD,2004,14.23,Mean Years of Schooling (years),5.379
COD,2005,14.06,Expected Years of Schooling (years),7.321
COD,2005,14.06,Gross National Income Per Capita (2017 PPP$),727.517
COD,2005,14.06,Human Development Index (value),0.392
COD,2005,14.06,Life Expectancy at Birth (years),53.927
COD,2005,14.06,Mean Years of Schooling (years),5.439
COD,2006,13.89,Expected Years of Schooling (years),7.398
COD,2006,13.89,Gross National Income Per Capita (2017 PPP$),749.804
COD,2006,13.89,Human Development Index (value),0.397
COD,2006,13.89,Life Expectancy at Birth (years),54.534
COD,2006,13.89,Mean Years of Schooling (years),5.479
COD,2007,13.42,Expected Years of Schooling (years),7.475
COD,2007,13.42,Gross National Income Per Capita (2017 PPP$),765.945
COD,2007,13.42,Human Development Index (value),0.401
COD,2007,13.42,Life Expectancy at Birth (years),54.923
COD,2007,13.42,Mean Years of Schooling (years),5.52
COD,2008,13.41,Expected Years of Schooling (years),8.198
COD,2008,13.41,Gross National Income Per Capita (2017 PPP$),766.67
COD,2008,13.41,Human Development Index (value),0.41
COD,2008,13.41,Life Expectancy at Birth (years),55.339
COD,2008,13.41,Mean Years of Schooling (years),5.561
COD,2009,13.64,Expected Years of Schooling (years),8.353
COD,2009,13.64,Gross National Income Per Capita (2017 PPP$),782.894
COD,2009,13.64,Human Development Index (value),0.416
COD,2009,13.64,Life Expectancy at Birth (years),55.836
COD,2009,13.64,Mean Years of Schooling (years),5.601
COD,2010,13.5,Expected Years of Schooling (years),8.691
COD,2010,13.5,Gross National Income Per Capita (2017 PPP$),809.733
COD,2010,13.5,Human Development Index (value),0.424
COD,2010,13.5,Life Expectancy at Birth (years),56.417
COD,2010,13.5,Mean Years of Schooling (years),5.642
COD,2011,13.32,Expected Years of Schooling (years),9.029
COD,2011,13.32,Gross National Income Per Capita (2017 PPP$),826.853
COD,2011,13.32,Human Development Index (value),0.432
COD,2011,13.32,Life Expectancy at Birth (years),57.069
COD,2011,13.32,Mean Years of Schooling (years),5.748
COD,2012,13.01,Expected Years of Schooling (years),8.893
COD,2012,13.01,Gross National Income Per Capita (2017 PPP$),848.942
COD,2012,13.01,Human Development Index (value),0.434
COD,2012,13.01,Life Expectancy at Birth (years),57.248
COD,2012,13.01,Mean Years of Schooling (years),5.855
COD,2013,12.77,Expected Years of Schooling (years),9.145
COD,2013,12.77,Gross National Income Per Capita (2017 PPP$),853.077
COD,2013,12.77,Human Development Index (value),0.44
COD,2013,12.77,Life Expectancy at Birth (years),57.762
COD,2013,12.77,Mean Years of Schooling (years),5.961
